id,name,category,quantity,price
1,iPhone 12,Electronics,10,899.99
2,Nike Air Max 90,Clothing,25,119.99
3,KitchenAid Stand Mixer,Home Appliances,5,299.99
4,The Great Gatsby,Books,50,12.99
5,L'Oreal Paris Mascara,Beauty,100,9.99
6,Yoga Mat,Sports,30,29.99
7,Samsung 4K Smart TV,Electronics,8,799.99
8,Levi's Jeans,Clothing,15,49.99
9,Dyson Vacuum Cleaner,Home Appliances,3,399.99
10,Harry Potter Series,Books,20,15.99
11,MAC Lipstick,Beauty,75,16.99
12,Adidas Running Shoes,Sports,22,59.99
13,PlayStation 5,Electronics,12,499.99
14,Hooded Sweatshirt,Clothing,10,34.99
15,Coffee Maker,Home Appliances,7,89.99
16,To Kill a Mockingbird,Books,15,9.99
17,Skincare Set,Beauty,50,49.99
18,Yoga Ball,Sports,18,19.99
19,Sony Noise-Canceling Headphones,Electronics,6,299.99
20,Puma T-shirt,Clothing,40,19.99
